Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Excess Transfers Back,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
University of California-Los Angeles,110662,2005,Football Bowl Subdivision,Pacific-12 Conference,"$46,010,599 ",$0 ,"$7,250,994 ","$395,990 ","$3,400,250 ","$539,420 ","$6,886,878 ","$5,018,166 ","$7,219,570 ","$8,155,048 ","$7,144,283 ","$46,013,054 ","$4,029,211 ","$5,576,617 ","$6,745,798 ","$1,373,069 ","$11,042,486 ","$14,710,543 ","$210,000 ","$2,325,330 ","$2,058,458,000 ","$13,219,941 ","$2,009,915 ","$5,500,000 ","$386,000 "
University of California-Los Angeles,110662,2006,Football Bowl Subdivision,Pacific-12 Conference,"$52,049,868 ",$0 ,"$9,198,032 ","$380,702 ","$1,965,680 ","$617,966 ","$8,902,715 ","$6,649,403 ","$8,060,097 ","$8,638,491 ","$7,636,782 ","$52,066,786 ","$5,914,802 ","$7,386,027 ","$7,455,859 ","$3,129,670 ","$11,656,366 ","$13,895,922 ","$210,000 ","$2,418,140 ","$2,099,931,000 ","$13,458,173 ","$2,433,931 ",,"$39,777 "
University of California-Los Angeles,110662,2007,Football Bowl Subdivision,Pacific-12 Conference,"$61,309,668 ",$0 ,"$11,537,775 ","$357,307 ","$3,978,066 ","$641,494 ","$9,837,835 ","$8,090,039 ","$8,965,747 ","$9,720,112 ","$8,181,293 ","$61,309,668 ","$9,225,524 ","$7,395,249 ","$8,655,548 ","$1,401,551 ","$12,447,762 ","$19,459,464 ","$210,000 ","$2,514,570 ","$2,246,554,000 ","$16,940,071 ","$2,701,967 ","$5,207,000 ","$373,070 "
University of California-Los Angeles,110662,2008,Football Bowl Subdivision,Pacific-12 Conference,"$66,088,264 ",$0 ,"$11,457,847 ","$475,566 ","$2,359,444 ","$696,473 ","$9,873,353 ","$9,760,786 ","$9,768,187 ","$12,927,963 ","$8,768,645 ","$66,088,264 ","$7,958,740 ","$7,744,834 ","$8,354,437 ","$3,587,023 ","$13,183,922 ","$22,402,565 ","$210,000 ","$2,646,743 ","$2,461,732,000 ","$16,950,787 ","$3,044,864 ","$5,100,000 ","$374,889 "
University of California-Los Angeles,110662,2009,Football Bowl Subdivision,Pacific-12 Conference,"$66,177,866 ",$0 ,"$10,055,772 ","$455,506 ","$4,764,454 ","$868,385 ","$9,174,535 ","$9,076,252 ","$10,935,052 ","$11,485,375 ","$9,362,535 ","$66,177,866 ","$6,678,124 ","$9,179,351 ","$10,006,048 ","$1,454,128 ","$11,154,514 ","$24,996,824 ","$210,000 ","$2,498,877 ","$2,550,445,000 ","$18,390,149 ","$3,317,426 ","$4,990,000 ","$374,500 "
University of California-Los Angeles,110662,2010,Football Bowl Subdivision,Pacific-12 Conference,"$61,875,531 ",$0 ,"$8,185,494 ","$370,560 ","$2,047,517 ","$890,417 ","$9,187,793 ","$8,616,569 ","$11,307,734 ","$11,524,794 ","$9,744,653 ","$61,875,531 ","$6,382,563 ","$9,032,537 ","$9,332,803 ","$3,923,122 ","$11,064,586 ","$19,329,439 ","$60,000 ","$2,750,481 ","$2,730,388,600 ","$15,274,817 ","$3,804,151 ","$4,876,341 ","$374,139 "
University of California-Los Angeles,110662,2011,Football Bowl Subdivision,Pacific-12 Conference,"$66,003,893 ",$0 ,"$8,092,360 ","$387,285 ","$4,097,878 ","$950,733 ","$8,751,645 ","$8,470,088 ","$12,462,937 ","$12,236,884 ","$10,554,083 ","$66,003,893 ","$11,960,937 ","$9,095,551 ","$7,808,406 ","$1,857,252 ","$12,645,570 ","$20,048,738 ","$60,000 ","$2,527,439 ","$2,914,300,000 ","$17,913,658 ","$4,409,917 ","$6,521,732 ","$1,001,500 "
University of California-Los Angeles,110662,2012,Football Bowl Subdivision,Pacific-12 Conference,"$71,731,776 ",$0 ,"$9,853,688 ","$445,262 ","$2,221,197 ","$1,102,114 ","$10,210,739 ","$9,235,682 ","$13,452,770 ","$14,081,893 ","$11,128,431 ","$71,731,776 ","$7,866,398 ","$11,407,611 ","$15,998,077 ","$3,505,391 ","$15,684,172 ","$14,494,463 ","$60,000 ","$2,715,664 ","$3,224,384,105 ","$19,193,346 ","$4,858,159 ","$5,336,842 ","$1,336,276 "
University of California-Los Angeles,110662,2013,Football Bowl Subdivision,Pacific-12 Conference,"$83,926,720 ",$0 ,"$11,000,012 ","$474,058 ","$1,461,250 ","$1,173,877 ","$12,393,058 ","$10,590,167 ","$15,779,201 ","$19,462,851 ","$11,592,246 ","$83,926,720 ","$8,904,842 ","$9,882,188 ","$14,436,711 ","$503,515 ","$22,627,222 ","$24,944,837 ","$60,000 ","$2,567,405 ","$3,405,461,772 ","$20,149,375 ","$5,327,195 ","$111,575,977 ","$2,244,729 "
University of California-Los Angeles,110662,2014,Football Bowl Subdivision,Pacific-12 Conference,"$86,426,780 ",$0 ,"$10,816,789 ","$404,201 ","$1,741,000 ","$1,307,093 ","$13,040,755 ","$12,065,551 ","$18,764,600 ","$16,148,428 ","$12,138,363 ","$86,426,780 ","$11,903,024 ","$11,652,329 ","$16,229,179 ","$522,500 ","$25,600,802 ","$17,807,674 ","$60,000 ","$2,651,272 ","$3,594,186,307 ","$24,092,213 ","$7,210,234 ","$107,049,209 ","$2,900,499 "
